X	Y
0.00000	40373.074
0.00667	40351.699
0.01333	40346.059
0.02000	40282.273
0.02667	40251.934
0.03333	40224.109
0.04000	40191.074
0.04667	40158.035
0.05333	40117.332
0.06000	40073.602
0.06667	40058.891
0.07333	40019.957
0.08000	39987.793
0.08667	39946.102
0.09333	39933.234
0.10000	39887.668
0.10667	39879.891
0.11333	39800.832
0.12000	39727.625
0.12667	39633.168
0.13333	39624.293
0.14000	39581.410
0.14667	39553.191
0.15333	39479.250
0.16000	39436.648
0.16667	39392.141
0.17333	39367.176
0.18000	39332.559
0.18667	39271.285
0.19333	39247.398
0.20000	39211.793
0.20667	39134.418
0.21333	39123.367
0.22000	39061.816
0.22667	39041.367
0.23333	39003.699
0.24000	38943.000
0.24667	38915.199
0.25333	38876.840
0.26000	38813.117
0.26667	38749.199
0.27333	38710.285
0.28000	38678.449
0.28667	38598.082
0.29333	38555.324
0.30000	38495.426
0.30667	38484.934
0.31333	38417.266
0.32000	38362.051
0.32667	38294.734
0.33333	38230.008
0.34000	38222.934
0.34667	38188.258
0.35333	38096.668
0.36000	38025.551
0.36667	37965.617
0.37333	37909.918
0.38000	37836.859
0.38667	37806.035
0.39333	37725.207
0.40000	37639.168
0.40667	37584.352
0.41333	37519.215
0.42000	37444.641
0.42667	37392.582
0.43333	37318.809
0.44000	37244.715
0.44667	37171.234
0.45333	37115.715
0.46000	37045.625
0.46667	36936.465
0.47333	36893.609
0.48000	36805.176
0.48667	36693.891
0.49333	36628.707
0.50000	36551.418
0.50667	36503.949
0.51333	36423.051
0.52000	36353.102
0.52667	36274.500
0.53333	36222.160
0.54000	36143.941
0.54667	36083.125
0.55333	36034.043
0.56000	35945.984
0.56667	35866.102
0.57333	35809.957
0.58000	35740.715
0.58667	35656.168
0.59333	35568.941
0.60000	35497.883
0.60667	35391.508
0.61333	35332.727
0.62000	35239.523
0.62667	35123.082
0.63333	35071.199
0.64000	34980.965
0.64667	34935.074
0.65333	34866.633
0.66000	34763.102
0.66667	34638.691
0.67333	34558.324
0.68000	34457.309
0.68667	34422.984
